SPECIESNAME,YEAR,AREA,REGION,COUNT
American Coot,1960,44,ch,430
American Coot,1960,45,ch,1650
American Coot,1960,46,ch,6350
American Coot,1960,47,ch,1750
American Coot,1960,48,ch,0
American Coot,1960,49,ch,2750
American Coot,1960,50,ch,500
American Coot,1960,51,ch,150
American Coot,1960,52,ch,500
American Coot,1960,6,nh,35
American Coot,1960,60,lw,0
American Coot,1960,60a,oh,500
American Coot,1960,61,lw,0
American Coot,1960,62,lw,0
American Coot,1960,63,lw,0
American Coot,1960,64,lw,2200
American Coot,1960,65,ec,2632
American Coot,1960,66,ec,5430
American Coot,1960,67,ec,137847
American Coot,1960,69,ec,5330
American Coot,1960,70,ec,6444
American Coot,1960,71,ec,175480
American Coot,1960,9,nh,0
American Coot,1961,1,nh,50
American Coot,1961,11,nh,0
American Coot,1961,14,nh,0
American Coot,1961,16,nh,11350
American Coot,1961,16a,oh,1800
American Coot,1961,17,nh,1760
American Coot,1961,17a,oh,415
American Coot,1961,18,nh,1550
American Coot,1961,19,nh,825
American Coot,1961,21,nh,6340
American Coot,1961,26,nh,0
American Coot,1961,28,nh,0
American Coot,1961,3,nh,0
American Coot,1961,30,ch,20
American Coot,1961,31,ch,600
American Coot,1961,32,ch,650
American Coot,1961,33,ch,6300
American Coot,1961,36,ch,12600
American Coot,1961,36a,oh,10
American Coot,1961,38,ch,80
American Coot,1961,4,nh,0
American Coot,1961,40,ch,0
American Coot,1961,41,ch,0
American Coot,1961,41a,oh,185
American Coot,1961,43,ch,200
American Coot,1961,44,ch,130
American Coot,1961,45,ch,1900
American Coot,1961,46,ch,2000
American Coot,1961,47,ch,300
American Coot,1961,48,ch,0
American Coot,1961,49,ch,500
American Coot,1961,50,ch,0
American Coot,1961,51,ch,200
American Coot,1961,52,ch,300
American Coot,1961,54a,oh,2040
American Coot,1961,6,nh,40
American Coot,1961,60,lw,0
American Coot,1961,60a,oh,0
American Coot,1961,61,lw,400
American Coot,1961,62,lw,2300
American Coot,1961,63,lw,3100
American Coot,1961,64,lw,150
American Coot,1961,65,ec,14005
American Coot,1961,66,ec,3562
American Coot,1961,67,ec,87075
American Coot,1961,69,ec,65381
American Coot,1961,6a,oh,0
American Coot,1961,7,nh,0
American Coot,1961,70,ec,19901
American Coot,1961,71,ec,405050
American Coot,1961,72,uw,0
American Coot,1961,74,uw,370
American Coot,1961,78,uw,0
American Coot,1961,79,uw,170
American Coot,1961,81,uw,0
American Coot,1961,82,uw,6150
American Coot,1961,83,uw,225
American Coot,1961,84,uw,0
American Coot,1961,85,uw,11150
American Coot,1961,86,uw,1450
American Coot,1961,87,uw,0
American Coot,1961,88,uw,0
American Coot,1961,89,uw,0
American Coot,1961,9,nh,0
American Coot,1961,90,uw,0
American Coot,1962,1,nh,0
American Coot,1962,11,nh,50
American Coot,1962,14,nh,0
American Coot,1962,16,nh,7320
American Coot,1962,16a,oh,280
American Coot,1962,17,nh,0
American Coot,1962,17a,oh,60
American Coot,1962,18,nh,899
American Coot,1962,21,nh,5238
American Coot,1962,26,nh,0
American Coot,1962,3,nh,0
American Coot,1962,30,ch,90
American Coot,1962,31,ch,725
American Coot,1962,32,ch,0
American Coot,1962,33,ch,800
American Coot,1962,36,ch,4700
American Coot,1962,38,ch,190
American Coot,1962,4,nh,0
American Coot,1962,40,ch,0
American Coot,1962,41,ch,10
American Coot,1962,43,ch,1400
American Coot,1962,44,ch,1050
American Coot,1962,45,ch,0
American Coot,1962,46,ch,1900
American Coot,1962,47,ch,0
American Coot,1962,48,ch,0
American Coot,1962,49,ch,100
American Coot,1962,50,ch,50
American Coot,1962,51,ch,0
American Coot,1962,52,ch,0
American Coot,1962,6,nh,10
American Coot,1962,60,lw,0
American Coot,1962,60a,oh,0
American Coot,1962,61,lw,2400
American Coot,1962,62,lw,0
American Coot,1962,63,lw,0
American Coot,1962,64,lw,600
American Coot,1962,65,ec,27150
American Coot,1962,66,ec,15180
American Coot,1962,67,ec,144310
American Coot,1962,69,ec,3550
American Coot,1962,6a,oh,0
American Coot,1962,7,nh,0
American Coot,1962,70,ec,308611
American Coot,1962,71,ec,14270
American Coot,1962,74,uw,955
American Coot,1962,78,uw,0
American Coot,1962,79,uw,350
American Coot,1962,81,uw,0
American Coot,1962,82,uw,3300
American Coot,1962,83,uw,875
American Coot,1962,84,uw,84200
American Coot,1962,85,uw,14700
American Coot,1962,86,uw,600
American Coot,1962,87,uw,0
American Coot,1962,88,uw,0
American Coot,1962,89,uw,0
American Coot,1962,9,nh,0
American Coot,1962,90,uw,0
American Coot,1963,1,nh,0
American Coot,1963,11,nh,0
American Coot,1963,14,nh,0
American Coot,1963,16,nh,3800
American Coot,1963,17a,oh,680
American Coot,1963,18,nh,231
American Coot,1963,21,nh,4618
American Coot,1963,26,nh,75
American Coot,1963,28,nh,0
American Coot,1963,3,nh,0
American Coot,1963,31,ch,900
American Coot,1963,32,ch,2400
American Coot,1963,33,ch,5500
American Coot,1963,36,ch,6700
American Coot,1963,4,nh,0
American Coot,1963,41,ch,100
American Coot,1963,43,ch,3200
American Coot,1963,44,ch,300
American Coot,1963,45,ch,100
American Coot,1963,46,ch,1600
American Coot,1963,47,ch,0
American Coot,1963,54,lw,4300
American Coot,1963,56,lw,625
American Coot,1963,57,lw,100
American Coot,1963,58,lw,25
American Coot,1963,59,lw,1200
American Coot,1963,6,nh,0
American Coot,1963,60,lw,0
American Coot,1963,61,lw,100
American Coot,1963,62,lw,4000
American Coot,1963,63,lw,9200
American Coot,1963,64,lw,900
American Coot,1963,65,ec,26303
American Coot,1963,66,ec,43417
American Coot,1963,67,ec,98473
American Coot,1963,69,ec,39351
American Coot,1963,7,nh,2625
American Coot,1963,70,ec,45715
American Coot,1963,71,ec,48000
American Coot,1963,74,uw,11200
American Coot,1963,78,uw,0
American Coot,1963,79,uw,2700
American Coot,1963,81,uw,0
American Coot,1963,82,uw,5500
American Coot,1963,83,uw,1310
American Coot,1963,84,uw,11000
American Coot,1963,85,uw,16300
American Coot,1963,86,uw,8500
American Coot,1963,87,uw,0
American Coot,1963,88,uw,0
American Coot,1963,89,uw,0
American Coot,1963,90,uw,0
American Coot,1964,1,nh,0
American Coot,1964,11,nh,10
American Coot,1964,14,nh,0
American Coot,1964,16,nh,4880
American Coot,1964,16a,oh,3955
American Coot,1964,17,nh,375
American Coot,1964,17a,oh,775
American Coot,1964,18,nh,0
American Coot,1964,21,nh,2810
American Coot,1964,26,nh,0
American Coot,1964,27,nh,130
American Coot,1964,29,nh,0
American Coot,1964,3,nh,5
American Coot,1964,30,ch,1035
American Coot,1964,31,ch,1840
American Coot,1964,32,ch,2570
American Coot,1964,33,ch,6595
American Coot,1964,34,ch,838
American Coot,1964,36,ch,13807
American Coot,1964,38,ch,330
American Coot,1964,4,nh,5
American Coot,1964,40,ch,0
American Coot,1964,41,ch,850
American Coot,1964,42,ch,350
American Coot,1964,43,ch,2265
American Coot,1964,44,ch,238
American Coot,1964,45,ch,245
American Coot,1964,46,ch,1185
American Coot,1964,47,ch,1914
American Coot,1964,48,ch,0
American Coot,1964,49,ch,413
American Coot,1964,54,lw,2550
American Coot,1964,56,lw,300
American Coot,1964,57,lw,0
American Coot,1964,58,lw,0
American Coot,1964,6,nh,300
American Coot,1964,60,lw,0
American Coot,1964,61,lw,0
American Coot,1964,62,lw,0
American Coot,1964,63,lw,800
American Coot,1964,64,lw,800
American Coot,1964,65,ec,71188
American Coot,1964,66,ec,19415
American Coot,1964,67,ec,187819
American Coot,1964,69,ec,62718
American Coot,1964,7,nh,7745
American Coot,1964,70,ec,41485
American Coot,1964,71,ec,67615
American Coot,1964,74,uw,6250
American Coot,1964,78,uw,0
American Coot,1964,79,uw,650
American Coot,1964,81,uw,50
American Coot,1964,82,uw,8500
American Coot,1964,83,uw,700
American Coot,1964,84,uw,74700
American Coot,1964,85,uw,0
American Coot,1964,86,uw,0
American Coot,1964,87,uw,0
American Coot,1964,88,uw,0
American Coot,1964,89,uw,0
American Coot,1964,9,nh,0
American Coot,1964,90,uw,0
American Coot,1965,1,nh,0
American Coot,1965,11,nh,0
American Coot,1965,14,nh,0
American Coot,1965,16,nh,5807
American Coot,1965,16a,oh,2112
American Coot,1965,17,nh,240
American Coot,1965,18,nh,7345
American Coot,1965,21,nh,3545
American Coot,1965,22,nh,255
American Coot,1965,26,nh,1510
American Coot,1965,27,nh,27
American Coot,1965,29,nh,100
American Coot,1965,3,nh,30
American Coot,1965,30,ch,75
American Coot,1965,31,ch,255
American Coot,1965,32,ch,1500
American Coot,1965,33,ch,2735
American Coot,1965,34,ch,1785
American Coot,1965,36,ch,17665
American Coot,1965,38,ch,492
American Coot,1965,39,ch,405
American Coot,1965,4,nh,10
American Coot,1965,40,ch,10
American Coot,1965,41,ch,1925
American Coot,1965,42,ch,70
American Coot,1965,43,ch,4260
American Coot,1965,44,ch,52
American Coot,1965,45,ch,1055
American Coot,1965,46,ch,1390
American Coot,1965,47,ch,1895
American Coot,1965,48,ch,10
American Coot,1965,49,ch,220
American Coot,1965,50,ch,6050
American Coot,1965,51,ch,75
American Coot,1965,52,ch,75
American Coot,1965,54,lw,8290
American Coot,1965,56,lw,1275
American Coot,1965,57,lw,235
American Coot,1965,58,lw,1120
American Coot,1965,59,lw,800
American Coot,1965,6,nh,0
American Coot,1965,60,lw,300
American Coot,1965,60a,oh,0
American Coot,1965,61,lw,0
American Coot,1965,62,lw,0
American Coot,1965,63,lw,4905
American Coot,1965,64,lw,1240
American Coot,1965,65,ec,34459
American Coot,1965,66,ec,9959
American Coot,1965,67,ec,90854
American Coot,1965,69,ec,76036
American Coot,1965,7,nh,1800
American Coot,1965,70,ec,570
American Coot,1965,74,uw,6370
American Coot,1965,78,uw,0
American Coot,1965,79,uw,3390
American Coot,1965,81,uw,0
American Coot,1965,82,uw,18400
American Coot,1965,83,uw,8700
American Coot,1965,84,uw,2400
American Coot,1965,85,uw,32750
American Coot,1965,86,uw,9255
American Coot,1965,87,uw,0
American Coot,1965,88,uw,0
American Coot,1965,89,uw,0
American Coot,1965,90,uw,0
American Coot,1966,65,ec,3585
American Coot,1966,66,ec,6080
American Coot,1966,67,ec,107520
American Coot,1966,72,uw,0
American Coot,1966,74,uw,4500
American Coot,1966,78,uw,450
American Coot,1966,79,uw,4000
American Coot,1966,81,uw,0
American Coot,1966,82,uw,5550
American Coot,1966,83,uw,1600
American Coot,1966,84,uw,9780
American Coot,1966,85,uw,9750
American Coot,1966,87,uw,0
American Coot,1966,88,uw,0
American Coot,1966,89,uw,0
American Coot,1966,90,uw,0
American Coot,1967,1,nh,0
American Coot,1967,11,nh,3
American Coot,1967,16,nh,6295
American Coot,1967,16a,oh,850
American Coot,1967,17a,oh,0
American Coot,1967,18,nh,12050
American Coot,1967,21,nh,2755
American Coot,1967,3,nh,0
American Coot,1967,32a,oh,0
American Coot,1967,33a,oh,0
American Coot,1967,4,nh,2000
American Coot,1967,6,nh,0
American Coot,1967,65,ec,133443
American Coot,1967,66,ec,52710
American Coot,1967,67,ec,73695
American Coot,1967,68,ec,1770
American Coot,1967,69,ec,99820
American Coot,1967,70,ec,5405
American Coot,1967,72,uw,0
American Coot,1967,74,uw,4700
American Coot,1967,78,uw,1000
American Coot,1967,79,uw,3400
American Coot,1967,81,uw,0
American Coot,1967,82,uw,9600
American Coot,1967,83,uw,1600
American Coot,1967,84,uw,50
American Coot,1967,87,uw,0
American Coot,1967,88,uw,0
American Coot,1967,89,uw,0
American Coot,1967,90,uw,0
American Coot,1968,72,uw,0
American Coot,1968,74,uw,9900
American Coot,1968,78,uw,900
American Coot,1968,79,uw,2800
American Coot,1968,81,uw,0
American Coot,1968,87,uw,0
American Coot,1968,88,uw,0
American Coot,1968,89,uw,0
American Coot,1968,90,uw,0
American Coot,1969,72,uw,0
American Coot,1969,74,uw,8100
American Coot,1969,78,uw,1000
American Coot,1969,79,uw,3700
American Coot,1969,81,uw,0
American Coot,1969,82,uw,6600
American Coot,1969,83,uw,300
American Coot,1969,87,uw,0
American Coot,1969,88,uw,0
American Coot,1969,89,uw,0
American Coot,1969,90,uw,0
American Coot,1970,1,nh,0
American Coot,1970,11,nh,25
American Coot,1970,12,nh,0
American Coot,1970,14,nh,0
American Coot,1970,15,nh,50
American Coot,1970,16,nh,1125
American Coot,1970,17,nh,0
American Coot,1970,18,nh,0
American Coot,1970,19,nh,1200
American Coot,1970,21,nh,750
American Coot,1970,22,nh,800
American Coot,1970,26,nh,0
American Coot,1970,27,nh,0
American Coot,1970,28,nh,0
American Coot,1970,29,nh,0
American Coot,1970,3,nh,0
American Coot,1970,30,ch,25
American Coot,1970,31,ch,1550
American Coot,1970,32,ch,700
American Coot,1970,33,ch,9700
American Coot,1970,34,ch,150
American Coot,1970,36,ch,23600
American Coot,1970,38,ch,0
American Coot,1970,39,ch,25
American Coot,1970,4,nh,0
American Coot,1970,41,ch,860
American Coot,1970,42,ch,500
American Coot,1970,43,ch,425
American Coot,1970,44,ch,1300
American Coot,1970,45,ch,650
American Coot,1970,46,ch,1000
American Coot,1970,47,ch,10950
American Coot,1970,48,ch,0
American Coot,1970,49,ch,3100
American Coot,1970,50,ch,650
American Coot,1970,51,ch,300
American Coot,1970,52,ch,50
American Coot,1970,6,nh,0
American Coot,1970,60a,oh,0
American Coot,1970,65,ec,88715
American Coot,1970,66,ec,26550
American Coot,1970,67,ec,48513
American Coot,1970,68,ec,10935
American Coot,1970,69,ec,97390
American Coot,1970,7,nh,0
American Coot,1970,70,ec,10850
American Coot,1970,71,ec,190220
American Coot,1970,72,uw,0
American Coot,1970,74,uw,10100
American Coot,1970,78,uw,1500
American Coot,1970,79,uw,3100
American Coot,1970,81,uw,0
American Coot,1970,82,uw,33300
American Coot,1970,83,uw,3950
American Coot,1970,84,uw,72500
American Coot,1970,85,uw,6300
American Coot,1970,86,uw,4350
American Coot,1970,87,uw,0
American Coot,1970,88,uw,0
American Coot,1970,89,uw,0
American Coot,1970,9,nh,0
American Coot,1970,90,uw,0
American Coot,1971,72,uw,0
American Coot,1971,73,uw,2075
American Coot,1971,74,uw,875
American Coot,1971,78,uw,4300
American Coot,1971,79,uw,11100
American Coot,1971,81,uw,0
American Coot,1971,82,uw,24700
American Coot,1971,83,uw,700
American Coot,1971,84,uw,5000
American Coot,1971,85,uw,8170
American Coot,1971,87,uw,0
American Coot,1971,88,uw,0
American Coot,1971,89,uw,0
American Coot,1971,90,uw,0
American Coot,1972,72,uw,0
American Coot,1972,74,uw,2000
American Coot,1972,78,uw,3100
American Coot,1972,79,uw,5240
American Coot,1972,81,uw,250
American Coot,1972,82,uw,16950
American Coot,1972,83,uw,2800
American Coot,1972,84,uw,10935
American Coot,1972,85,uw,10265
